"REF_DATE","GEO","DGUID","Country of residence","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Newfoundland and Labrador","2016A000210","Cuba","Persons","249","units","0","v126710","2.191","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Cuba","Persons","249","units","0","v126710","2.191","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Cuba","Persons","249","units","0","v126710","2.191","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Cuba","Persons","249","units","0","v126710","2.191","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Curaçao","Persons","249","units","0","v122610402","2.256","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Curaçao","Persons","249","units","0","v122610402","2.256","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Curaçao","Persons","249","units","0","v122610402","2.256","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Curaçao","Persons","249","units","0","v122610402","2.256","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Curaçao","Persons","249","units","0","v122610402","2.256","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Costa Rica","Persons","249","units","0","v126722","2.175","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Costa Rica","Persons","249","units","0","v126722","2.175","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Costa Rica","Persons","249","units","0","v126722","2.175","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Costa Rica","Persons","249","units","0","v126722","2.175","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Costa Rica","Persons","249","units","0","v126722","2.175","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","El Salvador","Persons","249","units","0","v126728","2.176","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","El Salvador","Persons","249","units","0","v126728","2.176","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","El Salvador","Persons","249","units","0","v126728","2.176","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","El Salvador","Persons","249","units","0","v126728","2.176","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","El Salvador","Persons","249","units","0","v126728","2.176","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Dominica","Persons","249","units","0","v126712","2.192","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Dominica","Persons","249","units","0","v126712","2.192","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Dominica","Persons","249","units","0","v126712","2.192","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Dominica","Persons","249","units","0","v126712","2.192","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Dominica","Persons","249","units","0","v126712","2.192","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Dominican Republic","Persons","249","units","0","v126713","2.193","5","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Dominican Republic","Persons","249","units","0","v126713","2.193","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Dominican Republic","Persons","249","units","0","v126713","2.193","21","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Dominican Republic","Persons","249","units","0","v126713","2.193","23","","","","0"
